Item,RichtigeUebersetzung,Zielsprache,Korrekt,OrthOverlap
aai,Ei,Frisian,falsch,3.333333333
aarde,Erde,Dutch,richtig,6
anslutning,Anschluss,Swedish,falsch,3
antal,Anzahl,Danish,falsch,6.666666667
applåd,Applaus,Swedish,falsch,7.142857143
armoede,Armut,Dutch,falsch,4.285714286
balans,Balance,Swedish,richtig,7.142857143
bedrog,Betrug,Dutch,falsch,6.666666667
befolkning,Bevölkerung,Danish,richtig,6.363636364
behandeling,Behandlung,Frisian,richtig,8.181818182
besøg,Besuch,Danish,falsch,5
bibleteek,Bibliothek,Frisian,richtig,7
bidrag,Beitrag,Danish,richtig,7.142857143
bjerg,Berg,Danish,richtig,8
blad,Blatt,Swedish,richtig,6
blod,Blut,Swedish,richtig,8
boom,Baum,Dutch,richtig,5
brød,Brot,Danish,richtig,7.5
bröst,Brust,Swedish,richtig,8
budzjet,Budget,Frisian,richtig,7.142857143
butik,Boutique,Danish,richtig,5
chans,Chance,Swedish,richtig,6.666666667
coördinatie,Koordination,Dutch,falsch,8.333333333
cyckel,Fahrrad; Zyklus,Swedish,richtig,6.666666667
dag,Tag,Danish,richtig,6.666666667
detalje,Detail,Danish,richtig,5.714285714
doarp,Dorf,Frisian,falsch,6
dyk,Deich,Frisian,falsch,7.5
eftermiddag,Nachmittag,Swedish,richtig,3.636363636
eilân,Insel (island),Frisian,richtig,8.333333333
elev,Schüler,Swedish,richtig,8
enhed,Einheit,Danish,falsch,5.714285714
ervaring,Erfahrung,Dutch,richtig,6.666666667
farve,Farbe,Danish,richtig,8
feest,Fest,Frisian,richtig,8
ferdigening,Verteidigung,Frisian,falsch,4.166666667
ferplichting,Verpflichtung,Frisian,richtig,7.692307692
fertrouwe,Vertrauen,Frisian,richtig,5.555555556
ferwizing,Verweisung,Frisian,falsch,6
fjäder,Feder,Swedish,richtig,6.666666667
flaske,Flasche,Danish,richtig,7.142857143
förbättring,Verbesserung,Swedish,falsch,4.166666667
forbrænding,Verbrennung,Danish,falsch,5.833333333
forening,Verein(igung),Danish,falsch,5.454545455
förhandling,Verhandlung,Swedish,richtig,7.272727273
förmåga,Vermögen,Swedish,falsch,3.75
forsikring,Versicherung,Danish,falsch,5
frede,Frieden,Frisian,falsch,7.142857143
freondin,Freundin,Frisian,richtig,8.75
frihet,Freiheit,Swedish,richtig,7.5
frugt,Frucht,Danish,richtig,8
garaazje,Garage,Frisian,falsch,6.25
geest,Geist,Dutch,richtig,8
gemenskap,Gemeinschaft,Swedish,falsch,5.833333333
geslacht,Geschlecht,Frisian,falsch,7
gevaar,Gefahr,Dutch,falsch,6.666666667
gevoel,Gefühl,Dutch,richtig,5
gezondheid,Gesundheit,Dutch,richtig,7
gordijn,Gardine,Dutch,richtig,5.714285714
groep,Gruppe,Frisian,richtig,8
hår,Haar,Swedish,richtig,7.5
haven,Hafen,Frisian,richtig,8
hemel,Himmel,Dutch,falsch,6.666666667
hjælp,Hilfe,Danish,richtig,6.666666667
hond,Hund,Dutch,falsch,7.5
huid,Haut,Dutch,falsch,2.5
indsigt,Einsicht,Danish,richtig,5
intryck,Eindruck,Swedish,richtig,6.25
invånare,Einwohner,Swedish,falsch,3.333333333
kaas,Käse,Dutch,richtig,5
kennis,Kenntnis,Dutch,richtig,7.5
klas,Klasse,Frisian,richtig,6.666666667
klokke,Klingel; Glocke; Uhr,Danish,richtig,6.666666667
koar,Chor,Frisian,falsch,4
konkurrence,Konkurrenz,Danish,richtig,8.181818182
konst,Kunst,Swedish,richtig,8
krig,Krieg,Swedish,richtig,8
kursus,Kurs,Danish,richtig,6.666666667
kyst,Küste,Danish,falsch,6
lucht,Luft,Dutch,falsch,6
lyst,Lust,Danish,falsch,7.5
mængde,Menge,Danish,richtig,7.142857143
majoritet,Mehrheit (majorité),Danish,richtig,8.888888889
makt,Macht,Swedish,richtig,6
måned,Monat,Danish,falsch,4
marts,März,Danish,falsch,8
masine,Maschine,Frisian,richtig,7.5
materiaal,Material,Frisian,richtig,8.888888889
mening,Meinung; Bedeutung; Sinn,Danish,richtig,8.571428571
mond,Mund,Dutch,falsch,7.5
morgon,Morgen,Swedish,richtig,8.333333333
mur,Mauer,Swedish,richtig,10
nadeel,Nachteil,Dutch,falsch,5
namme,Name,Frisian,richtig,8
näsa,Nase,Swedish,richtig,7.5
nivå,Niveau,Swedish,richtig,6.666666667
oanfiering,Anführung,Frisian,richtig,6
öga,Auge,Swedish,falsch,2.5
ögonblick,Augenblick,Swedish,richtig,7
omgivning,Umgebung,Swedish,richtig,4.444444444
oorzaak,Ursache,Dutch,falsch,1.428571429
oplossing,Auflösung,Frisian,falsch,4.444444444
opmærksomhed,Aufmerksamkeit,Danish,falsch,4.285714286
ordning,Ordnung,Swedish,richtig,8.571428571
organisaasje,Organisation,Frisian,richtig,6.666666667
paal,Pfahl,Dutch,falsch,6
paard,Pferd,Dutch,falsch,6
parlemint,Parlament,Frisian,richtig,8.888888889
plads,Platz,Danish,richtig,6
pligt,Pflicht,Danish,richtig,5.714285714
politie,Polizei,Dutch,richtig,7.142857143
posysje,Position,Frisian,falsch,3.75
præst,Priester (priest),Danish,falsch,8.333333333
press,Presse,Swedish,richtig,10
pris,Preis,Danish,richtig,8
punt,Punkt,Frisian,richtig,8
ræsonnement,Darlegung (raisonnement),Danish,falsch,9.166666667
rechter,Richter,Dutch,richtig,8.571428571
regearing,Regierung,Frisian,richtig,6.666666667
regn,Regen,Danish,richtig,8
relatie,Verhältnis (relation),Dutch,richtig,7.5
resa,Reise,Swedish,falsch,6
riktning,Richtung,Swedish,richtig,5
rivier,Fluss,Frisian,falsch,8.571428571
rook,Rauch,Dutch,falsch,2
samenhang,Zusammenhang,Dutch,richtig,7.5
sammenkomst,Zusammenkunft,Danish,richtig,6.153846154
sång,Lied (song),Swedish,falsch,7.5
schip,Schiff,Dutch,richtig,8
sintimeter,Zentimeter,Frisian,richtig,8
sintrum,Zentrum,Frisian,falsch,7.142857143
situaasje,Situation,Frisian,richtig,5.555555556
skada,Schaden,Swedish,falsch,4.285714286
skole,Schule,Danish,falsch,5
skræk,Schreck,Danish,falsch,4.285714286
skridt,Schritt,Danish,falsch,5.714285714
slang,Schlange,Frisian,falsch,6.25
smerte,Schmerz,Danish,falsch,4.285714286
sne,Schnee,Danish,richtig,5
stim,Stimme,Frisian,richtig,6.666666667
stjärna,Stern,Swedish,richtig,5.714285714
stoarm,Sturm,Frisian,richtig,8.333333333
stol,Stuhl,Danish,falsch,6
straat,Strasse,Dutch,richtig,6.666666667
strävan,Streben,Swedish,falsch,5.714285714
stykke,Stück,Danish,richtig,5
succé,Erfolg (success),Swedish,falsch,8.333333333
sûkelade,Schokolade,Frisian,richtig,6
synd,Sünde,Danish,richtig,6
tält,Zelt,Swedish,richtig,5
tante,Tante,Dutch,richtig,10
tiisdei,Dienstag,Frisian,richtig,4.285714286
toegang,Zugang,Dutch,falsch,5.714285714
touw,Seil,Dutch,falsch,5
trein,Zug (train),Dutch,richtig,8
tryk,Druck,Danish,falsch,4
tunga,Zunge,Swedish,richtig,6
uitgave,Ausgabe,Dutch,richtig,4.285714286
undersökning,Untersuchung,Swedish,falsch,5.833333333
ungelok,Unglück,Frisian,richtig,5.714285714
universitet,Universität,Swedish,richtig,9.090909091
untwikkeling,Entwicklung,Frisian,falsch,6.666666667
utbildning,Ausbildung,Swedish,richtig,6
utland,Ausland,Swedish,richtig,7.142857143
útspraak,Aussprache,Frisian,richtig,5
väg,Weg,Swedish,richtig,3.333333333
vak,Fach,Dutch,falsch,2.5
verhoging,Erhöhung,Dutch,falsch,6.666666667
versie,Version,Dutch,richtig,7.142857143
vlag,Flagge,Dutch,richtig,7.5
vleugel,Flügel,Dutch,falsch,7.142857143
vluchteling,Flüchtling,Dutch,richtig,8.181818182
voorbereiding,Vorbereitung,Dutch,richtig,8.461538462
vrouw,Frau,Dutch,falsch,4
water,Wasser,Dutch,richtig,10
werk,Arbeit (work),Dutch,richtig,10
woartel,Wurzel,Frisian,falsch,5.714285714
wyn,Wein,Frisian,richtig,5
ynfloed,Einfluss,Frisian,falsch,3.75
zaak,Sache,Dutch,falsch,2
zaal,Saal,Dutch,falsch,7.5
