"CS","Name","Potenzial"
"mit","Luca",6
"mit","Luca",5
"mit","Luca",5
"mit","Luca",5
"mit","Dragan",5
"mit","Dragan",5
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Luca",4
"mit","Dragan",4
"mit","Dragan",4
"mit","Dragan",4
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Luca",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Dragan",3
"mit","Luca",2
"mit","Luca",2
"mit","Luca",2
"mit","Luca",2
"mit","Luca",2
"mit","Luca",2
"mit","Luca",2
"mit","Luca",2
"mit","Dragan",2
"mit","Dragan",2
"mit","Dragan",2
"mit","Dragan",2
"mit","Dragan",2
"mit","Dragan",2
"mit","Dragan",1
"ohne","Luca",5
"ohne","Dragan",5
"ohne","Dragan",5
"ohne","Dragan",5
"ohne","Dragan",5
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Luca",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Dragan",4
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Luca",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Dragan",3
"ohne","Luca",2
"ohne","Luca",2
"ohne","Luca",2
"ohne","Luca",2
"ohne","Luca",2
"ohne","Luca",2
"ohne","Dragan",2
"ohne","Dragan",2
"ohne","Luca",1
