LvlFrench,LvlEnglish,LvlGerman,LvlSpanish,NoLanguages,Swedish,Danish,Norwegian,Participant
5,5,5,2,5,18,7,13,S1
5,4,3,0,3,20,8,9,S2
5,5,0,0,2,16,8,11,S3
4,5,3,0,3,16,3,7,S4
4,5,4,2,6,15,6,6,S5
4,5,3,0,3,12,6,9,S6
3,4,4,0,4,5,0,3,S7
1,5,2,0,3,8,1,4,S8
3,5,2,0,3,12,3,6,S9
4,5,4,0,3,12,4,8,S10
3,5,3,2,4,8,1,6,S11
4,5,3,0,4,9,3,5,S12
3,4,1,0,3,5,2,3,S13
4,5,2,0,3,9,5,2,S14
4,3,3,0,3,8,5,6,S15
4,4,2,1,6,5,5,4,S16
3,4,4,0,3,4,3,5,S17
3,4,5,0,3,8,3,5,S18
3,5,3,0,3,9,3,10,S19
3,5,2,0,3,6,1,4,S20
3,3,3,0,3,9,3,3,S21
3,5,0,0,2,4,3,2,S22
4,5,4,0,3,13,4,5,S23
