Subject,Flanker,Simon
100,0.2759922115198772,0.1982187304482328
101,0.22347707579873877,0.1304114211413978
102,0.1530644589187169,0.19252870000698685
103,0.1340387010680315,0.08371985991730524
104,0.16047812077949253,-0.0813628642071853
105,0.4937231378515641,0.12136211264556751
106,0.2326696671371029,0.12031592546367254
107,0.4114935572042717,0.19432432018179435
109,0.3643970540150465,0.029293314301981788
110,0.17067071649463772,0.0893818777583757
111,0.2772530328003713,0.2586642144571205
112,0.38963856987375145,0.19877902082566523
113,0.18852179462399832,0.3250863380546085
114,0.3581201268147449,0.3184349586072308
115,0.2890302547947665,0.23568836506884194
116,0.27597171140680166,0.19028585014702948
117,-0.01567623314833888,0.04145445332063469
118,0.06755293428273168,0.08729908972963596
119,0.10472042612793997,-0.06275190673039388
120,0.24043959061045195,-0.010374508059827647
121,0.1376039994044591,-0.05514263798707475
122,0.13731983361785227,-0.020078541887529777
123,0.28541641798812867,0.04522965219779751
124,0.27944934881066086,0.29250707050750435
125,0.09815925124732283,-0.04691876317785204
126,0.12712646175131725,0.11665497417300186
127,0.39587968187752587,0.2833407842330429
128,0.10317542155428772,0.11174976526692704
129,0.2650410035446593,0.1462210947832956
130,0.20732166589633727,0.39049651119850326
131,0.2102972296260872,0.1570967739720981
132,0.15253860048548207,0.055277986419393965
133,0.25996783551282254,0.1979165229640354
134,0.33913085157158296,0.20124528450401025
